,bet_type,over_profit,under_profit,wagered,over_roi,under_roi
0,Home Runs,-1074.5,-89.41000000000031,3300,-0.3256060606060606,-0.027093939393939486
1,Hits,-164.2199999999998,-323.3800000000001,3350,-0.049020895522388,-0.09653134328358212
2,Hits + Runs + RBIs,-91.85000000000036,-272.0699999999997,3350,-0.027417910447761304,-0.08121492537313424
3,Total Bases,-235.3399999999997,-239.23999999999978,3350,-0.07025074626865663,-0.07141492537313426
4,RBIs,-134.5,-215.64000000000033,3350,-0.04014925373134328,-0.06437014925373144
5,Runs Scored,-5.5900000000001455,-317.6300000000001,3350,-0.001668656716417954,-0.09481492537313436
6,Stolen Bases,-417.5,-52.48000000000002,1900,-0.21973684210526315,-0.027621052631578956
7,Singles,-274.0500000000002,-113.69999999999982,3350,-0.08180597014925378,-0.033940298507462635
8,Doubles,-320.0,-186.9300000000003,3350,-0.0955223880597015,-0.055800000000000086
9,Walks,-537.73,-87.85999999999967,3120,-0.172349358974359,-0.028160256410256306
